CANDIDATE UNSAT [4667,2682,52308,70481,50710,9074,58753,44069,69754,59525,93316]
CANDIDATE UNSAT [4667,2682,52308,70481,50710,9074,58529,44293,69754,59525,93316]
CANDIDATE UNSAT [4667,2682,52308,70481,50710,9074,58529,44293,69754,59525,93316]
CANDIDATE UNSAT [4667,2682,52308,70481,50710,9074,58529,44293,69754,59525,93316]
CANDIDATE UNSAT [4667,2682,52308,70481,50710,9074,58529,44293,69754,59525,93316]
CANDIDATE UNSAT [4667,2682,52308,70481,50710,9074,58529,44293,69754,59525,93316]
CANDIDATE UNSAT [4667,2682,52308,70481,52756,9074,58529,44293,69754,59525,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52756,9074,58529,44293,69754,59525,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52756,9074,58529,44293,69754,59525,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52756,9074,58529,44293,69754,59525,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52756,9074,58529,44293,69754,59525,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52756,8563,58529,44293,69754,60036,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52756,8563,58529,44293,69754,60036,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52756,8563,58529,44293,69754,60036,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52741,8563,58544,44293,69754,60036,91270]
CANDIDATE UNSAT [4667,2682,52308,70481,52741,8563,25778,44293,69754,60036,124036]
CANDIDATE UNSAT [4667,2682,52308,70481,52741,8563,25778,44293,69754,60036,124036]
CANDIDATE UNSAT [4667,2682,52308,70481,52741,8563,25778,44293,69754,60548,123524]
CANDIDATE UNSAT [4667,2682,52308,70481,52741,8563,25778,44293,69754,60548,123524]
CANDIDATE UNSAT [4667,2682,52308,70481,52741,8563,25778,44293,5242,60548,59012]
CANDIDATE UNSAT [4667,2682,52308,70481,52357,8563,25778,44293,5242,60932,59012]
CANDIDATE UNSAT [4667,2682,52308,70481,52357,8563,25778,44293,5242,60932,59012]
CANDIDATE UNSAT [4667,2682,52308,70481,52357,8563,25778,44293,5242,60932,59012]
CANDIDATE UNSAT [4667,2682,52308,70481,52357,8563,25778,44293,5242,60932,59012]
CANDIDATE UNSAT [4667,2682,52308,70481,52357,8563,25778,44293,5242,60932,59012]
CANDIDATE UNSAT [4667,2682,52756,70481,52357,8563,25778,44293,5242,60932,58564]
CANDIDATE UNSAT [4667,2681,52756,70482,52357,8563,25778,44293,5242,60932,58564]
CANDIDATE UNSAT [4667,2681,52756,70482,52372,8563,25763,44293,5242,60932,58564]
CANDIDATE UNSAT [4667,2681,52756,70482,52372,8563,25763,44293,5242,60932,58564]
CANDIDATE UNSAT [4667,2681,52756,70482,52372,8563,25825,44293,5242,60932,58502]
CANDIDATE UNSAT [4667,2681,52756,70482,52372,8563,25825,44293,5242,60932,58502]
CANDIDATE UNSAT [4667,2681,52756,70482,52372,8563,25825,44293,5242,60932,58502]
CANDIDATE UNSAT [4667,2681,52756,70482,52372,8563,25825,44293,5496,60932,58756]
CANDIDATE UNSAT [4667,2681,52756,70482,27796,33139,25825,44293,5496,60932,58756]
CANDIDATE UNSAT [4667,2681,52756,70482,27796,33139,25825,44293,5496,60932,58756]
CANDIDATE UNSAT [4667,2681,52756,70482,27796,33139,25825,44293,5496,60932,58756]
CANDIDATE UNSAT [4667,2681,52756,70482,27796,33139,25825,44293,5496,60932,58756]
CANDIDATE UNSAT [4667,2651,52756,70512,27796,33139,25825,44293,5496,60932,58756]
CANDIDATE UNSAT [4667,2651,52756,70512,27796,33139,25825,44293,5496,60932,58756]
CANDIDATE UNSAT [4667,2651,24084,70512,27796,4467,25825,44293,5496,60932,58756]
CANDIDATE UNSAT [4667,2651,24084,70512,27796,4467,58561,44293,38232,60932,58756]
CANDIDATE UNSAT [4667,67675,24084,70512,27796,4467,58561,44293,38232,125956,58756]
CANDIDATE UNSAT [4794,67675,24084,70512,27796,4467,58561,44420,38232,125956,58756]
CANDIDATE UNSAT [4794,67675,24084,70512,27796,4467,58753,44420,38232,125956,58564]
CANDIDATE UNSAT [4794,67675,24084,70512,27796,4467,58753,44420,38232,125956,58564]
... [    3587 lines total; truncated to keep the artifact small; every one of these lines is a search candidate at n <= 11, not evidence about n = 13] ...
CANDIDATE UNSAT [3498,15560,82581,6632,114733,41015,94227,39032,7620,57875,57926]
CANDIDATE UNSAT [3498,15808,82581,6632,114981,41015,94227,39032,7620,57875,57926]
CANDIDATE UNSAT [3498,15808,82581,6632,114981,41015,90139,39032,3532,57875,57926]
CANDIDATE UNSAT [3498,15808,82581,6632,114981,41495,90139,39032,3532,57395,57926]
CANDIDATE UNSAT [3498,15808,82581,6632,114981,41495,122899,39032,36292,57395,57926]
