c0,c1,c2,c3,L_lo,L_up,kernel_upper,d_lower,D_up,exact_realized,G28,margin_lo,margin_up,margin_final
2,5,15,9,4420523,4420523,2,2191760,2195488,1,4390994,-29529,-29529,-29529
2,5,17,7,4420331,4420331,2,2195088,2195088,1,4390189,-30142,-30142,-30142
2,5,19,5,4420939,4420939,2,2195488,2195488,1,4390994,-29945,-29945,-29945
2,5,21,3,4418507,4418507,2,2187280,2187280,1,4374578,-43929,-43929,-43929
2,5,23,1,4432491,4432491,2,2195488,2195488,1,4390994,-41497,-41497,-41497
2,7,1,21,4434923,4434923,2,2202480,2202480,1,4404973,-29950,-29950,-29950
2,7,3,19,4416379,4416379,2,2193112,2193112,1,4386237,-30142,-30142,-30142
2,7,5,17,4420331,4420331,2,2195088,2195088,1,4390189,-30142,-30142,-30142
2,7,7,15,4419003,4419003,2,2197848,2201416,1,4402847,-16156,-16156,-16156
2,7,9,13,4419179,4427371,2,2194560,2205600,0,4411213,-7966,-16158,-16158
2,7,11,11,4419195,4419195,2,2194568,2201816,1,4403647,-15548,-15548,-15548
2,7,13,9,4419179,4427371,2,2194560,2205600,0,4411213,-7966,-16158,-16158
2,7,15,7,4419003,4419003,2,2197848,2201416,1,4402847,-16156,-16156,-16156
2,7,17,5,4420331,4420331,2,2195088,2195088,1,4390189,-30142,-30142,-30142
2,7,19,3,4416379,4416379,2,2193112,2193112,1,4386237,-30142,-30142,-30142
2,7,21,1,4434923,4434923,2,2202480,2202480,1,4404973,-29950,-29950,-29950
2,9,1,19,4434315,4434315,2,2202176,2202176,1,4404366,-29949,-29949,-29949
2,9,3,17,4417291,4417291,2,2190144,2193568,1,4387150,-30141,-30141,-30141
2,9,5,15,4420523,4420523,2,2191760,2195488,1,4390994,-29529,-29529,-29529
2,9,7,13,4419179,4427371,2,2194560,2205600,0,4411213,-7966,-16158,-16158
2,9,9,11,4419915,4419915,2,2194928,2202176,1,4404366,-15549,-15549,-15549
2,9,11,9,4419915,4419915,2,2194928,2202176,1,4404366,-15549,-15549,-15549
2,9,13,7,4419179,4427371,2,2194560,2205600,0,4411213,-7966,-16158,-16158
